Mouse,Radiation,Diet,Date,Weight
3069,Sham,CDDO-EA,2019-04-03,24.1
3069,Sham,CDDO-EA,2019-05-01,25
3069,Sham,CDDO-EA,2019-05-07,25.2
3069,Sham,CDDO-EA,2019-05-28,26
3069,Sham,CDDO-EA,2019-06-05,25.3
3069,Sham,CDDO-EA,2019-06-12,26.2
3069,Sham,CDDO-EA,2019-06-19,27.1
3069,Sham,CDDO-EA,2019-06-26,26.1
3069,Sham,CDDO-EA,2019-07-03,27.1
3069,Sham,CDDO-EA,2019-07-10,27
3069,Sham,CDDO-EA,2019-07-17,27
3069,Sham,CDDO-EA,2019-07-24,26.9
3069,Sham,CDDO-EA,2019-07-31,27.2
3069,Sham,CDDO-EA,2019-08-07,27.2
3069,Sham,CDDO-EA,2019-08-14,27.1
3069,Sham,CDDO-EA,2019-08-21,26.8
3069,Sham,CDDO-EA,2019-08-28,26.4
3069,Sham,CDDO-EA,2019-09-04,27.3
3069,Sham,CDDO-EA,2019-09-11,27.3
3069,Sham,CDDO-EA,2019-09-18,26.8
3069,Sham,CDDO-EA,2019-09-25,26.4
3069,Sham,CDDO-EA,2019-10-02,26.5
3069,Sham,CDDO-EA,2019-10-09,27
3069,Sham,CDDO-EA,2019-10-15,27.3
3069,Sham,CDDO-EA,2019-10-22,26.5
3069,Sham,CDDO-EA,2019-10-30,26.9
3069,Sham,CDDO-EA,2019-11-05,27.7
3069,Sham,CDDO-EA,2019-11-13,27.6
3069,Sham,CDDO-EA,2019-11-20,29.3
3069,Sham,CDDO-EA,2019-11-27,28.6
3069,Sham,CDDO-EA,2019-12-14,28.4
3069,Sham,CDDO-EA,2019-12-11,28.7
3069,Sham,CDDO-EA,2019-12-20,29.4
3069,Sham,CDDO-EA,2019-12-26,31.4
3069,Sham,CDDO-EA,2020-01-02,30.1
3069,Sham,CDDO-EA,2020-01-08,31
3069,Sham,CDDO-EA,2020-01-15,29.3
3069,Sham,CDDO-EA,2020-01-22,28.6
3069,Sham,CDDO-EA,2020-01-29,28.1
3069,Sham,CDDO-EA,2020-02-05,28.2
3069,Sham,CDDO-EA,2020-02-12,29.4
3069,Sham,CDDO-EA,2020-02-19,30
3069,Sham,CDDO-EA,2020-02-26,31.3
3069,Sham,CDDO-EA,2020-03-04,33.4
3069,Sham,CDDO-EA,2020-03-20,34.5
3069,Sham,CDDO-EA,2020-04-24,39
3070,Sham,CDDO-EA,2019-04-03,28.9
3070,Sham,CDDO-EA,2019-05-01,30.6
3070,Sham,CDDO-EA,2019-05-07,32.4
3070,Sham,CDDO-EA,2019-05-28,33.1
3070,Sham,CDDO-EA,2019-06-05,29.6
3070,Sham,CDDO-EA,2019-06-12,29.4
3070,Sham,CDDO-EA,2019-06-19,29.1
3070,Sham,CDDO-EA,2019-06-26,30.2
3070,Sham,CDDO-EA,2019-07-03,29.6
3070,Sham,CDDO-EA,2019-07-10,29.9
3070,Sham,CDDO-EA,2019-07-17,30.7
3070,Sham,CDDO-EA,2019-07-24,30.8
3070,Sham,CDDO-EA,2019-07-31,30.8
3070,Sham,CDDO-EA,2019-08-07,31.4
3070,Sham,CDDO-EA,2019-08-14,30.3
3070,Sham,CDDO-EA,2019-08-21,30.1
3070,Sham,CDDO-EA,2019-08-28,31.8
3070,Sham,CDDO-EA,2019-09-04,31.1
3070,Sham,CDDO-EA,2019-09-11,30.5
3070,Sham,CDDO-EA,2019-09-18,30.8
3070,Sham,CDDO-EA,2019-09-25,31.8
3070,Sham,CDDO-EA,2019-10-02,32.2
3070,Sham,CDDO-EA,2019-10-09,32.2
3070,Sham,CDDO-EA,2019-10-15,32.4
3070,Sham,CDDO-EA,2019-10-22,33.3
3070,Sham,CDDO-EA,2019-10-30,32.7
3070,Sham,CDDO-EA,2019-11-05,33.5
3070,Sham,CDDO-EA,2019-11-13,33.4
3070,Sham,CDDO-EA,2019-11-20,35.6
3070,Sham,CDDO-EA,2019-11-27,36.5
3070,Sham,CDDO-EA,2019-12-14,35.2
3070,Sham,CDDO-EA,2019-12-11,35.5
3070,Sham,CDDO-EA,2019-12-20,34.7
3070,Sham,CDDO-EA,2019-12-26,37.4
3070,Sham,CDDO-EA,2020-01-02,36.5
3070,Sham,CDDO-EA,2020-01-08,35.7
3070,Sham,CDDO-EA,2020-01-15,33.7
3070,Sham,CDDO-EA,2020-01-22,34.3
3070,Sham,CDDO-EA,2020-01-29,35.1
3070,Sham,CDDO-EA,2020-02-05,34.9
3070,Sham,CDDO-EA,2020-02-12,38.1
3070,Sham,CDDO-EA,2020-02-19,39.7
3070,Sham,CDDO-EA,2020-02-26,41.3
3070,Sham,CDDO-EA,2020-03-04,42.8
3070,Sham,CDDO-EA,2020-03-20,43.9
3070,Sham,CDDO-EA,2020-04-24,49.4
3071,Sham,CDDO-EA,2019-04-03,18.9
3071,Sham,CDDO-EA,2019-05-01,19.8
3071,Sham,CDDO-EA,2019-05-07,19.4
3071,Sham,CDDO-EA,2019-05-28,20.4
3071,Sham,CDDO-EA,2019-06-05,19.1
3071,Sham,CDDO-EA,2019-06-12,19.8
3071,Sham,CDDO-EA,2019-06-19,20.7
3071,Sham,CDDO-EA,2019-06-26,20
3071,Sham,CDDO-EA,2019-07-03,20.3
3071,Sham,CDDO-EA,2019-07-10,21.4
3071,Sham,CDDO-EA,2019-07-17,21
3071,Sham,CDDO-EA,2019-07-24,20.3
3071,Sham,CDDO-EA,2019-07-31,20.4
3071,Sham,CDDO-EA,2019-08-07,21.1
3071,Sham,CDDO-EA,2019-08-14,21.3
3071,Sham,CDDO-EA,2019-08-21,21
3071,Sham,CDDO-EA,2019-08-28,20.6
3071,Sham,CDDO-EA,2019-09-04,20.2
3071,Sham,CDDO-EA,2019-09-11,20.9
3071,Sham,CDDO-EA,2019-09-18,21
3071,Sham,CDDO-EA,2019-09-25,20.8
3071,Sham,CDDO-EA,2019-10-02,20.8
3071,Sham,CDDO-EA,2019-10-09,20.3
3071,Sham,CDDO-EA,2019-10-15,21.4
3071,Sham,CDDO-EA,2019-10-22,21.6
3071,Sham,CDDO-EA,2019-10-30,20.8
3071,Sham,CDDO-EA,2019-11-05,21.6
3071,Sham,CDDO-EA,2019-11-13,21.4
3071,Sham,CDDO-EA,2019-11-20,22
3071,Sham,CDDO-EA,2019-11-27,21.1
